        a          b         p       ABSOLUTE ERROR     RELATIVE_ERROR  
****************************************************************************
 1. 1.000000   2.000000   1.500000       0.500000        0.333333   
 2. 1.500000   2.000000   1.750000       0.250000        0.142857   
 3. 1.500000   1.750000   1.625000       0.125000        0.076923   
 4. 1.500000   1.625000   1.562500       0.062500        0.040000   
 5. 1.500000   1.562500   1.531250       0.031250        0.020408   
 6. 1.500000   1.531250   1.515625       0.015625        0.010309   
 7. 1.500000   1.515625   1.507812       0.007812        0.005181   
 8. 1.507812   1.515625   1.511719       0.003906        0.002584   
 9. 1.511719   1.515625   1.513672       0.001953        0.001290   
10. 1.511719   1.513672   1.512695       0.000977        0.000646   
11. 1.511719   1.512695   1.512207       0.000488        0.000323   
12. 1.511719   1.512207   1.511963       0.000244        0.000161   
13. 1.511963   1.512207   1.512085       0.000122        0.000081   
14. 1.512085   1.512207   1.512146       0.000061        0.000040   
15. 1.512085   1.512146   1.512115       0.000031        0.000020   
16. 1.512115   1.512146   1.512131       0.000015        0.000010   
17. 1.512131   1.512146   1.512138       0.000008        0.000005   

TOTAL ITERATION IS :  17
THE APPROXIMATE ROOT :  1.512138
