        a          b         p       ABSOLUTE ERROR     RELATIVE_ERROR  
****************************************************************************
 1. 0.000000   1.000000   0.500000       0.500000        1.000000   
 2. 0.500000   1.000000   0.750000       0.250000        0.333333   
 3. 0.750000   1.000000   0.875000       0.125000        0.142857   
 4. 0.875000   1.000000   0.937500       0.062500        0.066667   
 5. 0.937500   1.000000   0.968750       0.031250        0.032258   
 6. 0.968750   1.000000   0.984375       0.015625        0.015873   
 7. 0.984375   1.000000   0.992188       0.007812        0.007874   
 8. 0.992188   1.000000   0.996094       0.003906        0.003922   
 9. 0.996094   1.000000   0.998047       0.001953        0.001957   
10. 0.998047   1.000000   0.999023       0.000977        0.000978   
11. 0.999023   1.000000   0.999512       0.000488        0.000489   
12. 0.999512   1.000000   0.999756       0.000244        0.000244   
13. 0.999756   1.000000   0.999878       0.000122        0.000122   
14. 0.999878   1.000000   0.999939       0.000061        0.000061   
15. 0.999939   1.000000   0.999969       0.000031        0.000031   
16. 0.999969   1.000000   0.999985       0.000015        0.000015   
17. 0.999985   1.000000   0.999992       0.000008        0.000008   

TOTAL ITERATION IS :  17
THE APPROXIMATE ROOT :  0.999992
