        a          b         p       ABSOLUTE ERROR     RELATIVE_ERROR  
****************************************************************************
 1. 1.000000   2.000000   1.500000       0.500000        0.333333   
 2. 1.000000   1.500000   1.250000       0.250000        0.200000   
 3. 1.250000   1.500000   1.375000       0.125000        0.090909   
 4. 1.375000   1.500000   1.437500       0.062500        0.043478   
 5. 1.375000   1.437500   1.406250       0.031250        0.022222   
 6. 1.406250   1.437500   1.421875       0.015625        0.010989   
 7. 1.406250   1.421875   1.414062       0.007812        0.005525   
 8. 1.406250   1.414062   1.410156       0.003906        0.002770   
 9. 1.410156   1.414062   1.412109       0.001953        0.001383   
10. 1.412109   1.414062   1.413086       0.000977        0.000691   
11. 1.412109   1.413086   1.412598       0.000488        0.000346   
12. 1.412109   1.412598   1.412354       0.000244        0.000173   
13. 1.412354   1.412598   1.412476       0.000122        0.000086   
14. 1.412354   1.412476   1.412415       0.000061        0.000043   
15. 1.412354   1.412415   1.412384       0.000031        0.000022   
16. 1.412384   1.412415   1.412399       0.000015        0.000011   
17. 1.412384   1.412399   1.412392       0.000008        0.000005   

TOTAL ITERATION IS :  17
THE APPROXIMATE ROOT :  1.412392
